timestamp,open,high,low,close,volume
2006-05-31,47.3000,48.5100,41.2400,42.9400,27453100
2006-04-28,47.1400,49.6800,45.9400,47.2000,16408800
2006-03-31,40.0400,47.9300,37.2600,47.1400,23404200
2006-02-28,40.3100,43.5700,39.2600,40.0300,18181500
2006-01-31,31.8200,41.1000,31.1500,40.3100,33933800
2005-12-30,33.6400,35.6500,30.2000,31.8200,32607100
2005-11-30,35.4700,38.1899,33.2300,33.6400,37249300
2005-10-31,31.7600,37.4000,29.9500,35.4800,35965200
2005-09-30,33.7000,38.4100,30.6500,31.4700,18083700
2005-08-31,34.5500,35.1400,28.6000,33.7500,21165900
2005-07-29,32.7100,36.1700,31.9700,34.3500,10939700
2005-06-30,29.1600,34.3000,29.1600,32.7100,17994700
2005-05-31,24.7000,31.1300,24.6200,29.1600,14694600
2005-04-29,22.4100,25.7000,20.7400,24.6100,19234400
2005-03-31,19.6000,23.6200,19.4000,22.1600,11183800
2005-02-28,19.0500,20.0600,18.5300,19.4100,4791800
2005-01-31,22.9500,22.9500,18.5600,19.0900,12576000
2004-12-31,21.1900,22.6000,20.4500,22.3600,8820000
2004-11-30,19.6000,23.5100,19.6000,21.0900,20346600
2004-10-29,18.5400,20.4600,18.2000,19.5900,7671000
2004-09-30,16.7600,18.7500,16.7600,18.5100,3285500
2004-08-31,15.3200,17.6200,14.4700,16.7600,4784800
2004-07-30,15.2200,15.9200,14.3700,15.4000,4734600
2004-06-30,15.6200,16.2800,14.4700,15.2200,7371800
2004-05-28,17.5700,18.4500,15.1500,15.6200,5367700
2004-04-30,18.0000,18.7300,17.3800,17.6100,2858800
2004-03-31,18.6500,18.7400,16.4900,18.0200,5033200
2004-02-27,16.6000,18.9700,16.0700,18.6500,4968400
2004-01-30,15.8000,18.9000,15.0500,16.6000,6991000
2003-12-31,16.3500,16.3500,14.1300,15.4100,6236600
2003-11-28,16.0600,17.6000,15.0400,16.1500,7917100
2003-10-31,15.9000,19.0500,15.6900,16.8200,6508800
2003-09-30,16.7500,18.2500,15.6500,15.9000,7952600
2003-08-29,13.6100,16.9900,12.5200,16.6300,8416900
2003-07-31,13.0500,14.8500,12.7500,13.6000,7100300
2003-06-30,12.5500,14.2200,12.4600,12.9200,7579300
2003-05-30,11.9500,13.8800,11.0800,12.5300,12281500
2003-04-30,12.0100,13.3600,11.8500,11.9500,4797200
2003-03-31,10.5500,12.5000,10.2500,12.0000,7108600
2003-02-28,8.6000,10.7800,7.5000,10.5000,8358000
2003-01-31,9.8000,10.8800,8.5000,8.5000,10384300
2002-12-31,19.0000,19.7500,8.9200,9.8000,17231900
2002-11-29,17.9000,20.9500,16.9000,18.6000,6216100
2002-10-31,20.4500,21.0000,17.2700,17.9000,6567600
2002-09-30,20.8000,22.1500,18.4300,20.4500,3302100
2002-08-30,17.4000,21.9900,13.8500,20.8000,5633700
2002-07-31,20.9000,20.9900,14.3000,17.5000,4397900
2002-06-28,24.1900,24.1900,18.3600,20.9900,3241100
2002-05-31,19.3000,24.3000,19.3000,24.1900,7186500
2002-04-30,20.0500,20.3500,17.7700,19.0500,4814300
2002-03-28,19.0500,21.9000,17.0000,20.2000,8496700
